year,新北市,臺北市,臺中市,臺南市,高雄市,宜蘭縣,桃園縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
86年,36,23,17,26,25,9,18,0,14,11,2,6,3,7,8,4,0,7,0,2,2,0
87年,42,34,52,21,26,7,36,2,8,6,9,6,6,9,1,6,4,13,10,7,1,0
88年,52,20,15,8,22,11,15,12,15,7,9,8,3,6,5,2,0,14,1,4,1,0
89年,45,18,33,16,21,13,30,8,6,18,13,4,13,4,1,6,0,6,4,2,0,1
90年,27,16,34,22,19,5,25,13,7,17,6,8,4,7,1,7,0,7,8,1,0,0
91年,27,13,21,23,8,2,22,6,5,19,8,6,13,5,2,4,1,4,2,0,2,0
92年,43,16,46,15,18,10,14,3,9,11,3,6,9,6,3,6,0,0,2,3,1,4
93年,33,10,18,13,7,6,11,6,5,7,6,8,9,4,2,3,1,10,1,0,0,0
94年,24,5,32,8,8,1,11,8,6,4,2,4,1,3,2,8,0,7,1,4,0,0
95年,17,2,21,5,11,3,22,2,2,7,5,3,2,2,4,5,1,4,4,3,0,0
96年,15,4,22,5,14,3,12,0,7,10,4,2,5,8,1,3,1,3,0,0,1,0
97年,9,3,18,5,14,2,12,2,1,7,7,8,2,4,1,2,0,1,0,2,0,0
98年,17,18,9,6,11,4,7,2,7,6,3,5,4,2,2,5,0,4,0,0,2,0
99年,14,4,14,4,3,0,12,1,1,7,2,5,5,4,2,0,0,1,4,0,0,0
100年,17,1,28,7,1,4,11,4,3,3,3,1,4,1,0,2,1,3,0,0,0,0
101年,15,14,21,23,4,1,15,0,2,8,7,5,6,4,2,1,0,5,6,1,0,0
102年,8,10,10,11,11,5,7,2,0,5,4,3,3,1,3,1,0,4,0,2,0,0
