  　　　　,新北市,臺北市,臺中市,臺南市,高雄市,宜蘭縣,桃園縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
86年,119,81,63,55,104,9,53,16,14,30,2,3,7,19,11,3,0,19,17,11,0,0
87年,146,126,51,33,117,12,58,11,17,45,13,12,10,13,4,21,7,22,25,19,0,1
88年,146,111,53,34,40,15,54,17,25,52,10,12,4,17,5,12,0,19,4,14,0,0
89年,146,80,62,58,58,47,95,15,7,33,21,17,8,13,3,7,4,12,25,19,1,0
90年,134,74,57,51,97,7,102,127,3,22,10,9,11,27,8,6,9,31,5,13,2,0
91年,109,38,61,59,56,15,76,17,12,56,25,13,17,70,1,3,2,10,6,14,3,0
92年,181,42,116,49,75,21,83,12,28,30,13,19,49,11,0,3,4,15,4,11,0,0
93年,125,33,78,28,42,10,51,22,12,49,14,9,20,10,2,1,3,22,4,13,2,0
94年,131,17,95,30,20,7,70,22,8,27,21,22,5,7,2,14,5,15,4,10,0,0
95年,112,19,69,19,53,15,56,13,7,21,11,13,7,3,0,5,5,9,14,19,0,0
96年,58,9,55,30,39,17,74,7,15,27,10,14,10,6,2,5,3,9,4,3,0,0
97年,30,15,29,20,38,16,52,6,8,13,4,15,16,7,2,5,2,3,7,4,5,5
98年,32,13,75,31,22,22,15,10,6,18,17,7,7,3,0,0,1,2,6,4,0,1
99年,30,13,87,27,20,9,19,9,6,20,2,15,8,4,13,9,1,9,4,3,0,0
100年,47,15,48,41,23,2,32,8,2,12,3,9,6,8,9,2,2,8,1,0,1,0
101年,15,9,27,81,18,10,19,5,14,38,5,11,4,7,5,0,5,0,4,0,1,1
102年,8,10,15,25,30,0,9,6,1,28,2,25,3,7,5,0,1,1,0,3,2,1
